Index,AAPL.Adjusted,AAPL.Volume
1/2/2003,7.29,6479600
1/3/2003,7.34,5266200
1/6/2003,7.34,13947600
1/7/2003,7.32,12226600
1/8/2003,7.17,8201600
1/9/2003,7.23,7687600
1/10/2003,7.25,6253600
1/13/2003,7.21,6390800
1/14/2003,7.2,6673600
1/15/2003,7.11,13254600
1/16/2003,7.2,19966800
1/17/2003,6.95,9527200
1/21/2003,6.91,9052000
1/22/2003,6.84,7683600
1/23/2003,6.98,8152000
1/24/2003,6.8,10909600
1/27/2003,6.96,13978800
1/28/2003,7.18,10223400
1/29/2003,7.36,13323000
1/30/2003,7.06,14537800
1/31/2003,7.08,12186600
2/3/2003,7.22,9456600
2/4/2003,7.19,11336200
2/5/2003,7.12,7914800
2/6/2003,7.11,6398200
2/7/2003,6.97,9632200
2/10/2003,7.07,5996000
2/11/2003,7.07,5885000
2/12/2003,7.09,8167400
2/13/2003,7.16,7446200
2/14/2003,7.23,8689200
2/18/2003,7.52,10389200
2/19/2003,7.32,8584600
2/20/2003,7.28,8012600
2/21/2003,7.39,5623000
2/24/2003,7.26,6437600
2/25/2003,7.4,6737200
2/26/2003,7.14,7753400
2/27/2003,7.32,5512200
2/28/2003,7.4,6967800
3/3/2003,7.22,7277200
3/4/2003,7.17,4514800
3/5/2003,7.2,4524400
3/6/2003,7.17,3566400
3/7/2003,7.16,7178000
3/10/2003,7.08,4806200
3/11/2003,7.01,5756800
3/12/2003,7.01,7948600
3/13/2003,7.25,11980200
3/14/2003,7.28,5467800
3/17/2003,7.4,14282600
3/18/2003,7.39,8213600
3/19/2003,7.37,5047000
3/20/2003,7.35,5827800
3/21/2003,7.39,10641000
3/24/2003,7.08,5753600
3/25/2003,7.17,5989200
3/26/2003,7.1,6369400
3/27/2003,7.14,4371200
3/28/2003,7.18,5189400
3/31/2003,6.97,9166400
4/1/2003,6.98,5512200
4/2/2003,7.19,6120400
4/3/2003,7.12,5204000
4/4/2003,7.1,5215000
4/7/2003,7.14,7030800
4/8/2003,7.12,4604800
4/9/2003,6.99,5240200
