date,XLF,XLF.1,XLF.2,XLF.3,XLF.4,XLF.5,XLF.6,XLF.7,XLF.8,XLF.9,XLF.10,XLF.11,XLF.12,XLF.13,XLF.14,XLF.15,XLF.16,XLF.17,XLF.18,XLF.19,XLF.20,XLF.21,XLF.22,XLF.23,XLF.24,XLF.25,XLF.26,XLF.27,XLF.28,XLF.29,XLF.30,XLF.31,XLF.32,XLF.33,XLF.34,JPM,WFC,C,BAC,AXP,AIG,GS,USB,PNC,BLK,COF,AMT,BK,MS,TRV,STT,AFL,ALL,CB,BBT,MMC,AON,SCHW,TROW,CME,WY,STI,AMP,FITB,MHP,IVZ,PGR,L,HIG,MCO,JPM_signal,WFC_signal,C_signal,BAC_signal,AXP_signal,AIG_signal,GS_signal,USB_signal,PNC_signal,BLK_signal,COF_signal,AMT_signal,BK_signal,MS_signal,TRV_signal,STT_signal,AFL_signal,ALL_signal,CB_signal,BBT_signal,MMC_signal,AON_signal,SCHW_signal,TROW_signal,CME_signal,WY_signal,STI_signal,AMP_signal,FITB_signal,MHP_signal,IVZ_signal,PGR_signal,L_signal,HIG_signal,MCO_signal
1/3/2006,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,33.47,26.22,426.73,39,46.36,1119.72,119.36,24.4,52.34,92.86,79.78,26.7,29.33,43.11,38.1,52.12,39.49,44.09,40.87,31.4,25.5,33.61,12.92,31.64,59.63,19.81,62.48,36.8,30.98,43.7,13.47,23.3,30.69,73.69,57.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2006,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,33.27,25.91,418.85,38.59,45.91,1121.33,117.72,24.49,52.67,93.01,79.27,27.52,29.48,43.14,38.52,52.28,39.71,44.04,41.33,31.65,25.52,33.73,13.55,31.78,58.77,20.29,63.15,37.95,31.37,43.54,13.68,23.4,30.96,74.18,57.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2006,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,33.38,25.89,420.93,38.64,46.4,1122.78,117.67,24.61,52.7,92,79.28,27.44,29.62,43.26,38.9,52.4,40.03,44.16,41.2,31.65,25.74,33.47,13.65,31.75,59.79,20.11,63.09,38.4,31.79,43.5,14.11,23.6,31.08,73.57,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2006,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,33.61,26.04,420.93,38.58,46.56,1127.61,119.34,24.8,53.13,94.07,79.28,27.86,30.01,43.3,39.11,53.03,41.47,44.17,41.14,31.57,26.05,33.34,13.85,32.01,61.59,20.14,63.29,38.11,31.78,44.23,14.37,23.45,31.35,74.34,57.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2006,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,34.16,26.03,418.94,38.6,47.71,1122.3,120.77,24.81,53.09,95.16,80.82,28.46,30.18,43.76,39.13,53.07,41.66,44.02,41.15,31.64,26.18,33.66,13.99,32.45,62.58,20.09,63.21,39.41,31.91,43.47,14.36,23.97,31.31,74.15,58.73,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2006,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,34.21,26.01,420.24,38.28,47.57,1132.27,122.29,24.7,53.1,95.55,80.46,28.42,30.13,43.78,38.85,53.57,41.69,44.9,40.97,31.6,25.87,33.31,13.53,32.33,62.34,20.36,63.25,39.04,31.91,41.56,14.28,23.91,31.53,73.56,59.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2006,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,34.18,26.15,424.05,38.19,47.32,1139.19,122.24,24.59,53.52,94.15,80.71,28.9,30.44,44.24,39.47,54.06,41.8,44.75,41.21,31.41,26.32,33.65,13.46,33.13,63.4,20.35,63.14,38.64,31.78,41.24,14.52,23.81,31.64,74.07,59.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2006,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,33.55,25.84,424.48,37.94,47.32,1130.02,122.5,24.49,52.84,95.4,79.52,28.48,30.17,44.17,39.24,53.03,41.24,44.14,40.98,30.98,25.75,33.99,13.34,33.02,62.44,19.99,62.36,38.6,31.74,39.68,14.6,23.29,31.68,73.78,59.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2006,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,33.53,25.99,423.53,37.94,47.23,1126.64,123.43,24.65,52.93,95.97,79.47,28.22,30.07,44.1,39.14,52.59,41.31,44.04,40.92,31.36,25.81,33.79,13.15,32.95,62.79,19.76,62.72,38.36,31.85,40.43,14.57,23.53,31.97,73.38,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2006,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,33.35,25.73,419.29,37.54,46.8,1110.4,122.81,24.2,51.8,95.23,78.88,27.88,29.72,43.68,38.46,51.93,40.98,43.8,40.51,31.21,25.62,33.7,12.94,32.52,62.75,19.78,62.24,38.05,31.45,42.16,14.49,23.1,31.79,72.64,57.48,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2006,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,32.99,26.14,418.68,37.49,46.64,1103.48,122.61,24.12,52.72,94.47,78.88,28.64,29.16,43.41,38.27,53.78,40.89,43.08,40.64,31.27,25.29,33.49,12.63,32.95,61.85,19.71,61.84,36.99,31.3,41.88,14.19,22.19,31.53,72.71,56.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
