date,XLF,XLF.1,XLF.2,XLF.3,XLF.4,XLF.5,XLF.6,XLF.7,XLF.8,XLF.9,XLF.10,XLF.11,XLF.12,XLF.13,XLF.14,XLF.15,XLF.16,XLF.17,XLF.18,XLF.19,XLF.20,XLF.21,XLF.22,XLF.23,XLF.24,XLF.25,XLF.26,XLF.27,XLF.28,XLF.29,XLF.30,XLF.31,XLF.32,XLF.33,XLF.34,JPM,WFC,C,BAC,AXP,AIG,GS,USB,PNC,BLK,COF,AMT,BK,MS,TRV,STT,AFL,ALL,CB,BBT,MMC,AON,SCHW,TROW,CME,WY,STI,AMP,FITB,MHP,IVZ,PGR,L,HIG,MCO,JPM_signal,WFC_signal,C_signal,BAC_signal,AXP_signal,AIG_signal,GS_signal,USB_signal,PNC_signal,BLK_signal,COF_signal,AMT_signal,BK_signal,MS_signal,TRV_signal,STT_signal,AFL_signal,ALL_signal,CB_signal,BBT_signal,MMC_signal,AON_signal,SCHW_signal,TROW_signal,CME_signal,WY_signal,STI_signal,AMP_signal,FITB_signal,MHP_signal,IVZ_signal,PGR_signal,L_signal,HIG_signal,MCO_signal
2012/01/03,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,33.53,27.28,28.28,5.77,47.41,24.07,93.49,26.76,56.83,174.19,43.33,57.86,19.83,15.81,57.03,40.74,43.3,26.92,68.23,24.68,30.56,46.19,11.42,56.06,46.67,18.37,18.33,49.43,12.67,44.43,19.88,18.72,38.17,16.39,34.45,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/04,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,33.74,27.4,28.12,5.78,47.44,23.92,92.88,26.75,57.01,172.93,44.07,58.7,19.9,15.67,56.79,40.23,43,26.74,67.03,24.89,30.22,45.41,11.44,55.95,45.79,18.16,18.47,48.82,12.68,43.93,19.68,18.65,37.71,16.15,34.36,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/05,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,34.44,27.84,28.46,6.27,47.99,23.91,92.73,27.15,57.58,172.33,44.75,59.38,20.06,16.01,57.35,40.68,43.28,26.91,67.85,25.13,29.92,45.67,11.62,56.74,45.34,18.06,19.46,49.23,13.05,44.69,19.89,18.81,37.76,16.29,34.97,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0
2012/01/06,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,34.13,27.77,28.5,6.14,47.47,23.54,91.59,26.93,57.68,172.13,44.73,59.28,19.77,15.63,57.37,40.68,42.68,27.18,67.4,24.77,29.51,45.32,11.74,57.15,44.46,18.29,19.55,49.08,13.07,44.76,20.08,18.89,37.43,15.97,35.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/09,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,34.08,28.11,29.03,6.23,47.58,24,92.83,27.4,58.15,172.25,45.81,59.45,20.19,15.93,57.7,40.69,41.71,27.3,67.71,25.35,29.58,45.43,11.82,56.65,43.36,18.07,19.87,49.09,13,45.01,20.2,18.93,37.55,16.28,35.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/10,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,34.8,28.22,29.95,6.59,47.86,25.07,96.4,27.42,59.28,175.94,47.22,60.32,20.59,16.61,58.1,42.05,42.32,27.83,67.43,25.67,29.81,45.9,12,58.8,43.23,18.47,20.26,49.86,13.42,46.45,20.9,19,38.18,17.21,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/11,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,35.39,28.42,31.22,6.83,48.13,25.37,97.8,27.57,59.35,176.69,47.25,61.25,20.79,16.81,57.91,41.94,42.65,28.17,67.37,25.7,29.96,45.6,12.15,57.75,42.94,18.96,20.85,49.72,13.32,45.09,20.58,19.03,38.04,17.45,35.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2012/01/12,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,35.57,28.41,31.55,6.75,48.82,25.43,99.23,27.89,60.12,179.75,47.94,61.44,21.04,16.88,57.81,42.48,42.52,28.2,67.22,25.98,30.13,45.84,12.16,57.79,44.31,19.1,20.84,49.87,13.4,44.77,21,19.07,38.22,17.76,35.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2012/01/13,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,34.68,28.41,30.69,6.57,48.93,24.95,97.02,28.17,59.77,179.28,48.42,61.32,20.74,16.35,57.39,41.83,41.66,28.11,67.21,26.15,30.13,45.45,11.86,57.43,44.55,19.44,20.59,49.38,13.59,44.84,20.9,18.85,37.93,17.38,35.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/17,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,33.7,28.62,28.17,6.44,49.38,24.56,95.77,27.92,59.29,180.14,48.33,60.83,20.56,15.98,57.7,41.64,42.22,28.18,67.91,26.16,30.09,45.65,11.85,57.12,43.54,19.49,20.4,49.56,13.31,44.16,20.91,19.01,37.74,17.21,34.61,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2012/01/18,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62,35.27,29.01,28.98,6.76,49.72,25.23,102.27,28.22,57.75,180.46,48.65,61.41,19.63,17.06,57.9,38.92,43.59,28.59,68.33,26.35,30.25,46.11,11.72,58.15,44.2,19.77,20.77,50.44,13.32,44.79,21.24,19.22,38.08,17.66,34.83,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/19,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,35.65,28.93,29.28,6.92,50.1,25.55,105.57,27.72,57.51,180.21,48.3,61.2,20.22,17.97,58.29,40,45.47,28.61,68.39,26.04,30.25,46.65,12.15,58.46,45.13,20.2,20.04,51.54,13.14,45.13,21.44,20.1,38.23,17.89,35.81,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0
2012/01/20,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,36.07,29.3,29.59,7.03,49.21,25.65,106.61,27.89,57.74,175.68,45.59,60.52,20.57,18.08,59.54,40.43,46.22,28.94,69.04,26.4,30.38,46.64,12.49,58.45,45.58,19.86,21.08,52.53,12.76,45.01,21.7,20.17,38.26,18.07,35.74,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,1,0,3,0,0,0,0,0,0
2012/01/23,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,13.88,36.36,29.67,29.8,7.21,48.62,25.44,106.07,27.65,57.83,178.31,45.65,60.81,20.92,17.9,58.28,40.71,46.36,28.91,69.08,26.64,30.16,46.32,12.32,58.58,45.3,19.45,21.01,52.6,12.98,45.1,21.66,20.03,38.64,18.17,36.01,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2012/01/24,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,13.87,36.36,29.3,29.85,7.25,48.41,25.32,106.74,27.61,57.63,181.64,44.61,61.46,20.54,17.83,56.07,40.24,47.34,28.48,68.16,26.65,29.92,46.19,12.17,58.93,45.7,19.17,21.08,52.1,13.01,45.27,21.65,20.08,38.14,18.14,36.14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/25,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,36.3,28.97,29.91,7.31,49.33,25.31,106.15,27.75,57.73,180.89,45.17,61.96,19.89,17.82,57.18,38.88,47.43,28.31,68.51,26.6,30.27,46.65,11.84,59.36,46,19.5,21.4,52.15,13.07,46.1,21.45,20.31,37.88,17.75,37.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2012/01/26,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.78,36.19,27.87,30.33,7.26,49.15,25.14,106.43,26.97,57.03,180.52,45.17,61.15,19.46,17.89,56.75,37.78,47.06,28.28,68.44,25.97,30.73,46.8,11.32,59.41,45.68,19.83,20.29,52.53,12.67,45.58,22.03,20.33,37.66,17.13,37.29,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
2012/01/27,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,13.83,35.92,28.4,30.82,7.25,49.02,25.25,109.58,27.04,57.2,180.17,45.61,61.99,19.68,18.3,56.12,38.05,47.31,28.22,65.59,25.88,30.73,47.28,11.38,58.23,45.77,19.68,20.4,51.56,12.82,45.63,22.23,20.18,37.34,17.14,36.9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012/01/30,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,35.73,28.06,30.18,7.03,48.3,25.2,107.58,27.18,57.15,176.06,44.37,61.85,19.48,17.94,56.17,37.83,46.7,28.17,65.08,26.13,30.57,47.26,11.35,56.7,45.6,19.52,20.32,51.19,12.58,45.05,21.8,19.95,37.03,17.03,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/01/31,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,36.01,28.02,30.67,7.09,49.3,25.11,109.29,27.39,57.05,174.89,45.31,62.49,19.59,18.39,56.36,38.17,46.53,27.99,65.58,26.11,30.56,47.71,11.36,56.3,45.51,19.25,20.36,51.45,12.6,44.75,21.82,20.03,37.02,17.09,36.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2012/02/01,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,36.3,28.8,31.55,7.32,49.78,26.6,111.23,27.72,57.96,175.85,46.2,62.33,19.99,19.12,57.3,39.16,46.56,28.43,65.84,26.84,31.05,48.64,11.61,57.06,46.64,19.31,20.83,52.63,12.73,44.57,22.41,20.54,37.56,17.76,36.84,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/02/02,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,36.25,28.81,31.95,7.41,50.31,26.31,111.17,27.72,57.91,176.59,46.54,62.21,20.72,19.24,57.41,39.92,46.77,29.38,65.97,26.91,30.88,48.64,11.82,56.31,50.54,19.37,21.1,48.4,12.82,44.76,22.38,20.7,37.71,18.06,36.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2012/02/03,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,14.42,36.95,29.51,33.49,7.8,51.38,27.17,115.23,28.34,60.22,181.27,48.83,62.35,21.35,20.02,58.12,41.47,48.22,29.77,66.72,27.96,31.47,47.35,12.49,57.72,51.95,20.48,22.06,51.54,13.16,45.13,23.09,21.09,38.31,18.89,37.73,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,0,0
2012/02/06,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,36.82,29.09,33.25,7.92,50.95,26.8,115.09,28.3,59.13,182.75,47.44,62.11,21.36,20.22,57.35,40.75,47.85,29.71,65.97,27.68,31.19,47.27,12.38,57.2,52.31,19.9,21.88,52.2,13.07,44.7,23.1,20.89,38.08,18.85,37.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
2012/02/07,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,14.34,36.56,29.15,33.02,7.81,51.26,26.7,113.71,28.58,58.77,182.07,46.84,62.35,21.1,19.97,57.75,40.56,47.54,29.92,67.07,28.35,31.55,47.32,12.03,57.1,52.45,19.6,21.97,52.76,13.11,44.7,23.48,20.96,38.06,18.65,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/02/08,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,36.97,29.51,34.18,8.08,50.78,27.04,113.87,28.75,58.51,182.82,47.97,62.82,21.33,20.15,57.86,40.73,47.63,30.07,66.92,28.47,31.37,47.86,12.2,56.97,54.11,19.77,22.03,52.74,13.18,44.7,23.51,21.07,38.19,20.07,37.54,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
